,date,title,url,views,views_expand
58,3 months ago,DR KIZITO LWANGA WAS ELIMINATED BECAUSE HE WAS TRYING TO SAVE KABAKA RONALDO MUTEBI 11,https://www.youtube.com//watch?v=RMvJrvfBzT0,17K views,17000.0
59,3 months ago,OBUTWA OBWAWEBWA KABAKA MUTEBI BUBIZADE PETER MAYEGA NE MUSEVENI GABAMYUSE,https://www.youtube.com//watch?v=2zP8VIpdfiU,33K views,33000.0
60,3 months ago,BWIINO AKWATA KUBALI MULUKWE LWOKUSANYAWO SSABASAJJA KABAKA RONALD MUTEBI OBUGANDA BULI MUMATIGA,https://www.youtube.com//watch?v=djZ8dDOBCaA,24K views,24000.0
61,3 months ago,OBUTAMANYA BUVVO NA BUDDO BWAFE GWEMUSINGI GWEBIZIBU FENA EBITUTAWANYA NGA ABAGANDA NE BANAUGANDA,https://www.youtube.com//watch?v=dnNg8rCoAjM,13K views,13000.0
62,3 months ago,MASSAGE FROM PRESIDENT ELECT KYAGULANYI SENTAMU ROBERT AKA BOBI WINE TO ALL NUP/ P.POWER,https://www.youtube.com//watch?v=Fg5uyLSLcS0,9.6K views,9600.0
63,4 months ago,MUSEVENI ALI MUKUTYA TAMANYI KYAGULANYI SENTAMU KIKI KYAZAKO,https://www.youtube.com//watch?v=UQQkttntxtA,16K views,16000.0
64,4 months ago,BA ARMY GENERALS BAKIRIZIGANYIZA NTI BAJJEWO BOBI WINE NGA 12/05/2021 TELUNATUKA,https://www.youtube.com//watch?v=A-XWAYFPH9s,28K views,28000.0
65,4 months ago,EKIRI ERUBAGA KITOKOTA SIKISANIKIRE EKEREZIYA YEYAWUDEMU OLWENFA YA DR CYPRIAN KIZITO LWANGA MILANGA,https://www.youtube.com//watch?v=5UFR9ReUGgM,32K views,32000.0
66,4 months ago,BWIINO AKWATA KUNFA YA DR KIZITO LWANGA NABO ABAGENDA OKUTIBWA MUBWANGU KUBIRAGIRO BYA MUSEVENI,https://www.youtube.com//watch?v=ROILuVWgjcM,45K views,45000.0
67,4 months ago,TO ALL BLOGGER'S WE MUST SUPPORT AND PROTECT KYAGULANYI SENTAMU AGAINST GOVERNMENT BLOGGERS,https://www.youtube.com//watch?v=QHDhYmA1jXI,17K views,17000.0
68,4 months ago,MUSEVENI TAKYEBAKA TAMANYI BOBI WINE KYAZAKO ATE NGA ABABANJJA MUSEVENI NABO BAMULI BUBI NYO,https://www.youtube.com//watch?v=Pry8oxpDMIs,23K views,23000.0
69,4 months ago,PLAN YA MUSEVENI OKUTEKA ABANA BA NAMBI MU CONCENTRATION CAMPS EWEDDE ATANDIKIRA MUKONO NE KAYUNGA,https://www.youtube.com//watch?v=XdVDwBSeXuw,17K views,17000.0
70,4 months ago,"AKASAMBATUKO MUSEVENI BAMUTADEKO EKIBALUWA KIBAKUNTUMYE EKYENSIYONA ICC,UN,AU EU BONA BAMWESAMBYE",https://www.youtube.com//watch?v=C8Fq1WB8ySs,27K views,27000.0
71,4 months ago,"TO ALL NUP BLOGGERS LETS NOT BLAME BOBI WINE, WE MUST BLAME MUSEVENI WHO  IS KILLING UGANDANS WE WON",https://www.youtube.com//watch?v=-cuknpb7gc8,12K views,12000.0
72,4 months ago,OBUNKENKE MU STATE HOUSE KU ANI ANASIKIRA MUSEVENI BAKOMEZAWO AMAMA MBABAZI NGA VICE PRESIDENT,https://www.youtube.com//watch?v=-dgE7VxtNA0,24K views,24000.0
73,4 months ago,OPEN ROOF GOES DIRECTLY TO MUHOOZI AND NYEREKO  MUHAMMAD STOP KIDNAPPING UGANDANS,https://www.youtube.com//watch?v=FJqLPUhJj9U,13K views,13000.0
74,4 months ago,FRED NYANZI ASIMATUSE OLUKWE LWO KUMUTTA NSEREKO MUHAMMAD NE MUHOOZI BEBADDE EMABEGA WOLUKWE LUNO,https://www.youtube.com//watch?v=k9xk2i6s0B0,17K views,17000.0
75,4 months ago,BREAKING NEWS NUBIAN LEE & HON JAMES MUBIRU  ARE IN CRITICAL CONDITIONS TRANSFERRED BACK TO NAKASERO,https://www.youtube.com//watch?v=TS1O1_wM420,19K views,19000.0
76,4 months ago,HIGH COURT JUDGEMENT IS DIVERTING US FROM CLAIMING OUR VICTORY LETS STAY FOCUSED,https://www.youtube.com//watch?v=jpN54b-SMTg,13K views,13000.0
77,4 months ago,ABBEY WALUSIMBI IS ON MISSION TO FINISH ME ON ORDERS OF MUSEVENI HE ASSIGNED  2 WHITE MEN &2LADIES,https://www.youtube.com//watch?v=CeYy-Eb60Co,19K views,19000.0
78,4 months ago,ORDER BEYOND ABOVE FORCED MUSEVENI TO RELEASE KYAGULANYI SENTAMU ROBERT AND HIS NUP LEADERS,https://www.youtube.com//watch?v=O0UW72N1LAw,20K views,20000.0
79,4 months ago,ABASAWO BEKINANSI OKUVA CONGO NE TANZANIAN BALABUDDE MUSEVENI NTI OBUDDE BUMUWEDEKO,https://www.youtube.com//watch?v=1nT8Pr9y_Jg,24K views,24000.0
80,4 months ago,SECURITY ALERTS TO ALL UGANDANS MOSTLY NUP LEADERS AND SUPPORTERS BE VERY CAREFUL WHENEVER YOU ARE,https://www.youtube.com//watch?v=SiDOuUBRR38,17K views,17000.0
81,4 months ago,ENKWE MUSEVENI ZAPANGIRA KYAGULANYI SENTAMU ROBERT NE NUP OKUGISANYAWO,https://www.youtube.com//watch?v=X3x2I3odY44,16K views,16000.0
82,4 months ago,SECURITY ALERTS TO ALL UGANDANS,https://www.youtube.com//watch?v=8yyf-vQSvPw,8.6K views,8600.0
83,5 months ago,ENTEBE MU NTEBE MISSION ETANDISE MUSEVENI ALI MUKUTYA AMAGYE  GALINDA KWEGATA KU BANAUGANDA,https://www.youtube.com//watch?v=kYAgmAK2ax8,18K views,18000.0
84,5 months ago,SSABASAJJA  KABAKA WA BUGANDA AZEMU OKUKYARAKO EWAKASUJJA MUGWANGA LYA KENYA YETAGA OKUSABILA ENYO,https://www.youtube.com//watch?v=4teb43v5JRI,15K views,15000.0
85,5 months ago,AGOKYA! ESAWA YONA COURT YA BANTU ETANDIKA BULI OMU WARI WETEGEKE MUSEVENI AGENDA,https://www.youtube.com//watch?v=n_4nEWBdSYo,19K views,19000.0
86,5 months ago,BREAKING NEWS MUSEVENI IS RUNNING OUT CASH HE TOLD ALL SECURITY OPERATIVES TO USE GUNS TO GET MONEY.,https://www.youtube.com//watch?v=gcPoq3DfDqI,25K views,25000.0
87,5 months ago,ENKWE NO BUTAGARIZA BWANDIVARAKO OKUSANAWO KWOBWAKABAKA BWA BUGANDA,https://www.youtube.com//watch?v=qM8RFTOZ_zE,17K views,17000.0
88,5 months ago,SHOCKING NESW WILLY MAYAMALA WAS FRONTEND BY NSEREKO MUHAMMAD AND KIZZA BESIGYE TO CONTINUE NUP CASE,https://www.youtube.com//watch?v=Nb_M4dXD6T8,20K views,20000.0
89,5 months ago,PASTOR BUGINGO'S SECRET MISSIONS IN UGANDA AS 4 MILLION USA DOLLARS STOLEN FROM ODREK RWABWOGO,https://www.youtube.com//watch?v=_r-ciAEYJec,22K views,22000.0
90,5 months ago,"OBUNKENKE MU STATE HOUSE MUSEVENI APLANINGA KUDUKA MU GWANGA, BANISTER  ABAJEKO PASSPORT",https://www.youtube.com//watch?v=ImIhqvEkEmM,25K views,25000.0
91,5 months ago,OBUNKENKE EMENGO ABAGANDA BEBUZA ANI YATUNDA EBIZINGA BYE SSESE,https://www.youtube.com//watch?v=HVtdwpZh0Uw,13K views,13000.0
92,5 months ago,UGANDA EYOREKEDDE OKUSIBWAKO NATTI  OLWOKORAGANA NE NORTH KOREAN OKUWESA EBYOKURWANYISA NAMUZISA,https://www.youtube.com//watch?v=J8xS8m_1sI4,13K views,13000.0
93,5 months ago,MUSEVENI HANDED OVER UGANDA TO NORTH KOREAN AND CHINA,https://www.youtube.com//watch?v=uMmTKZV5zjM,14K views,14000.0
94,5 months ago,MUSEVENI MASTERMINDED THE  DEATH OF THE LATE ARCHBISHOP JONNANI JAKALIYA LUWUM BY MISLEAD AMIN DADA,https://www.youtube.com//watch?v=sglftr9Ex7M,9.3K views,9300.0
